K_Mz,Mz_dist,brake_energy,e0,e_final,e_peak,e_reduction,max_Mz,max_cmd,mu_mode,mz_flips,note,sat_fraction,settle_s,sign,steer,surface,util_peak,vx0
12000.0,7000.0,0.0,0.9492083380560775,1.8439689621173279,1.3287828329404618,-0.8947606240612503,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9970138177999275,25.0
12000.0,-1500.0,0.6110788716516333,0.13871509688739703,0.1031210708030456,0.13871509688739703,0.03559402608435143,1268.0964370388747,0.301927723104494,nominal,0,,0.0,,-1.0,0.06,nominal,0.9358764402796351,35.0
12000.0,1500.0,0.0,1.1716314883834509,1.9914309252336098,1.488038013177065,-0.8197994368501589,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9971975346820103,35.0
12000.0,-3000.0,0.6805723597337786,0.07352830324150644,0.10223126272103181,0.258805363685039,-0.028702959479525364,1593.5003364840945,0.3794048420200226,nominal,0,,0.0,,-1.0,0.06,nominal,0.9842419196697494,35.0
12000.0,3000.0,0.0,1.1208355500791063,1.997720500307181,1.4927586610682553,-0.8768849502280747,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9972015338022564,35.0
12000.0,-5000.0,0.6805723597337786,0.07352830324150644,0.10223126272103181,0.258805363685039,-0.028702959479525364,1593.5003364840945,0.3794048420200226,nominal,0,,0.0,,-1.0,0.06,nominal,0.9842419196697494,35.0
12000.0,5000.0,0.0,1.1208355500791063,1.997720500307181,1.4927586610682553,-0.8768849502280747,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9972015338022564,35.0
12000.0,-7000.0,0.6805723597337786,0.07352830324150644,0.10223126272103181,0.258805363685039,-0.028702959479525364,1593.5003364840945,0.3794048420200226,nominal,0,,0.0,,-1.0,0.06,nominal,0.9842419196697494,35.0
12000.0,7000.0,0.0,1.1208355500791063,1.997720500307181,1.4927586610682553,-0.8768849502280747,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9972015338022564,35.0
10000.0,-3000.0,0.4395239306645228,0.1965957608751199,0.08250366384216191,0.21558110382714737,0.11409209703295799,1214.4605158686793,0.2891572656830189,nominal,0,steer,0.0,,-1.0,0.04,nominal,0.9811087952944771,25.0
10000.0,-3000.0,0.6059131775317208,0.15334762032593385,0.11177260713267023,0.2819899011200032,0.04157501319326362,1229.9864356585017,0.29285391325202426,nominal,0,steer,0.0,,-1.0,0.08,nominal,0.9829949115490253,25.0
10000.0,-3000.0,0.5069049371629735,0.09205610136459949,0.12684750102215936,0.25693484617132173,-0.03479139965755987,1016.7712110171027,0.2420883835755007,nominal,0,steer,0.0,,-1.0,0.12,nominal,0.9852889457510569,25.0
11000.0,-3000.0,0.45174435155657033,0.1965957608751199,0.07779770267126515,0.21488127378883937,0.11879805820385475,1377.2608544118857,0.327919251050449,nominal,0,steer,0.0,,-1.0,0.04,nominal,0.9811087952944771,25.0
